column,family_id,host_count,prevalence
0,SAMN02649746|IEKEGFOK_00001,217,1.0
1,SAMN02649746|IEKEGFOK_00002,217,1.0
2,SAMN02649746|IEKEGFOK_00003,216,0.9953917050691244
3,SAMN02649746|IEKEGFOK_00004,217,1.0
4,SAMN02649746|IEKEGFOK_00005,217,1.0
5,SAMN02649746|IEKEGFOK_00006,217,1.0
6,SAMN02649746|IEKEGFOK_00007,217,1.0
7,SAMN02649746|IEKEGFOK_00008,215,0.9907834101382489
8,SAMN02649746|IEKEGFOK_00009,216,0.9953917050691244
9,SAMN02649746|IEKEGFOK_00010,217,1.0
10,SAMN02649746|IEKEGFOK_00011,217,1.0
11,SAMN02649746|IEKEGFOK_00012,217,1.0
12,SAMN02649746|IEKEGFOK_00013,217,1.0
13,SAMN02649746|IEKEGFOK_00015,215,0.9907834101382489
14,SAMN02649746|IEKEGFOK_00016,216,0.9953917050691244
15,SAMN02649746|IEKEGFOK_00017,217,1.0
16,SAMN02649746|IEKEGFOK_00018,215,0.9907834101382489
17,SAMN02649746|IEKEGFOK_00019,209,0.9631336405529954
18,SAMN02649746|IEKEGFOK_00020,217,1.0
19,SAMN02649746|IEKEGFOK_00021,215,0.9907834101382489
20,SAMN02649746|IEKEGFOK_00022,216,0.9953917050691244
21,SAMN02649746|IEKEGFOK_00023,214,0.9861751152073732
22,SAMN02649746|IEKEGFOK_00024,217,1.0
23,SAMN02649746|IEKEGFOK_00025,216,0.9953917050691244
24,SAMN02649746|IEKEGFOK_00026,217,1.0
25,SAMN02649746|IEKEGFOK_00027,217,1.0
26,SAMN02649746|IEKEGFOK_00029,184,0.847926267281106
27,SAMN02649746|IEKEGFOK_00031,217,1.0
28,SAMN02649746|IEKEGFOK_00033,217,1.0
29,SAMN02649746|IEKEGFOK_00034,217,1.0
30,SAMN02649746|IEKEGFOK_00035,217,1.0
31,SAMN02649746|IEKEGFOK_00037,215,0.9907834101382489
32,SAMN02649746|IEKEGFOK_00039,217,1.0
33,SAMN02649746|IEKEGFOK_00040,217,1.0
34,SAMN02649746|IEKEGFOK_00041,217,1.0
