design,fold,biosample,cc,score,threshold,accepted,cc_represented_in_training
random_kfold,0,SAMN02649750,8,0.9463447350771296,0.8649874379333227,True,True
random_kfold,0,SAMN02649759,5,0.9611111111111112,0.8649874379333227,True,True
random_kfold,0,SAMN02649760,1,0.9603925692253767,0.8649874379333227,True,True
random_kfold,0,SAMN02649769,8,0.9927209705372616,0.8649874379333227,True,True
random_kfold,0,SAMN02649773,5,0.9708806818181818,0.8649874379333227,True,True
random_kfold,0,SAMN02649778,8,0.96639231824417,0.8649874379333227,True,True
random_kfold,0,SAMN02649797,8,0.9644175897952332,0.8649874379333227,True,True
random_kfold,0,SAMN02649799,5,0.9837031900138696,0.8649874379333227,True,True
random_kfold,0,SAMN02649802,5,0.9742445054945056,0.8649874379333227,True,True
random_kfold,0,SAMN02649811,5,0.9728242174062608,0.8649874379333227,True,True
random_kfold,0,SAMN02649813,5,0.9807890222984562,0.8649874379333227,True,True
random_kfold,0,SAMN02649815,5,0.9964850615114236,0.8649874379333227,True,True
random_kfold,0,SAMN03859722,45,0.933981233243968,0.8649874379333227,True,True
random_kfold,0,SAMN03859723,8,0.9289031797070382,0.8649874379333227,True,True
random_kfold,0,SAMN03859738,5,0.9587844917918268,0.8649874379333227,True,True
random_kfold,0,SAMN03859740,8,0.9117236566643404,0.8649874379333227,True,True
random_kfold,0,SAMN03859748,45,0.9351158645276292,0.8649874379333227,True,True
random_kfold,0,SAMN03859756,121,0.9774545454545456,0.8649874379333227,True,True
random_kfold,0,SAMN03859760,22,0.9240506329113924,0.8649874379333227,True,True
random_kfold,0,SAMN03859769,72,0.9570799706529712,0.8649874379333227,True,True
random_kfold,0,SAMN03859790,30,0.9059027777777776,0.8649874379333227,True,True
random_kfold,0,SAMN03859792,30,0.9685466377440348,0.8649874379333227,True,True
random_kfold,0,SAMN03859793,8,0.9096301465457084,0.8649874379333227,True,True
random_kfold,0,SAMN03859798,30,0.9452439452439452,0.8649874379333227,True,True
random_kfold,0,SAMN03859800,8,0.878698224852071,0.8649874379333227,True,True
random_kfold,0,SAMN03859814,45,0.931948424068768,0.8649874379333227,True,True
random_kfold,0,SAMN03859816,121,0.8983739837398373,0.8649874379333227,True,True
random_kfold,0,SAMN03859833,121,0.8837847103188207,0.8649874379333227,True,True
random_kfold,0,SAMN03859838,30,0.9386566141192596,0.8649874379333227,True,True
random_kfold,0,SAMN03859840,5,0.95355587808418,0.8649874379333227,True,True
random_kfold,0,SAMN09847804,5,0.9823804386911184,0.8649874379333227,True,True
random_kfold,0,SAMN09847806,72,0.951148377688662,0.8649874379333227,True,True
random_kfold,0,SAMN09847812,398,0.9648609077598828,0.8649874379333227,True,True
random_kfold,0,SAMN09847816,8,0.9564453811029152,0.8649874379333227,True,True
random_kfold,0,SAMN09847820,5,0.9996420901932712,0.8649874379333227,True,True
random_kfold,0,SAMN09847825,5,0.989481320275662,0.8649874379333227,True,True
random_kfold,0,SAMN09847827,5,0.9992745738121146,0.8649874379333227,True,True
random_kfold,0,SAMN09847828,5,0.9989122552574328,0.8649874379333227,True,True
random_kfold,0,SAMN09847841,8,0.9426773855295352,0.8649874379333227,True,True
random_kfold,0,SAMN09847850,5,0.9281924301379554,0.8649874379333227,True,True
random_kfold,0,SAMN09847855,8,0.984380423464075,0.8649874379333227,True,True
random_kfold,0,SAMN09847863,8,0.9986077271145144,0.8649874379333227,True,True
random_kfold,0,SAMN09847864,45,0.9238826815642458,0.8649874379333227,True,True
random_kfold,0,SAMN09847866,8,0.9358214161144052,0.8649874379333227,True,True
random_kfold,1,SAMN02649748,5,0.962862930452397,0.8723415797600471,True,True
random_kfold,1,SAMN02649751,5,0.9753521126760564,0.8723415797600471,True,True
random_kfold,1,SAMN02649752,8,0.9746527777777778,0.8723415797600471,True,True
random_kfold,1,SAMN02649763,8,0.8769816106531388,0.8723415797600471,True,True
random_kfold,1,SAMN02649766,5,0.983682156793189,0.8723415797600471,True,True
random_kfold,1,SAMN02649776,5,0.9760141093474428,0.8723415797600471,True,True
random_kfold,1,SAMN02649787,5,0.9693420599379952,0.8723415797600471,True,True
random_kfold,1,SAMN02649789,5,0.9733788395904436,0.8723415797600471,True,True
random_kfold,1,SAMN02649796,5,0.8853283066289663,0.8723415797600471,True,True
random_kfold,1,SAMN02649801,5,0.9809792180345192,0.8723415797600471,True,True
random_kfold,1,SAMN02649808,5,0.9658620689655172,0.8723415797600471,True,True
random_kfold,1,SAMN02649809,5,0.9511930585683296,0.8723415797600471,True,True
random_kfold,1,SAMN02649812,5,0.9689101469080972,0.8723415797600471,True,True
random_kfold,1,SAMN02649814,1,0.9212435233160622,0.8723415797600471,True,True
random_kfold,1,SAMN03859741,25,0.9076536112109236,0.8723415797600471,True,True
random_kfold,1,SAMN03859744,97,0.9342152306042188,0.8723415797600471,True,True
random_kfold,1,SAMN03859745,8,0.9365136298421808,0.8723415797600471,True,True
random_kfold,1,SAMN03859766,10,0.866551724137931,0.8723415797600471,False,True
random_kfold,1,SAMN03859777,5,0.9129335260115607,0.8723415797600471,True,True
random_kfold,1,SAMN03859783,8,0.9505263157894736,0.8723415797600471,True,True
random_kfold,1,SAMN03859795,30,0.9685807150595884,0.8723415797600471,True,True
random_kfold,1,SAMN03859802,97,0.9454350927246792,0.8723415797600471,True,True
random_kfold,1,SAMN03859803,30,0.908041958041958,0.8723415797600471,True,True
random_kfold,1,SAMN03859805,97,0.939801699716714,0.8723415797600471,True,True
random_kfold,1,SAMN03859806,121,0.9108098465929362,0.8723415797600471,True,True
random_kfold,1,SAMN03859808,25,0.9037300177619894,0.8723415797600471,True,True
random_kfold,1,SAMN03859809,121,0.8326005025125628,0.8723415797600471,False,True
random_kfold,1,SAMN03859820,59,0.9529791816223976,0.8723415797600471,True,True
random_kfold,1,SAMN03859821,59,0.9425080848005748,0.8723415797600471,True,True
